Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
338,Omenuke Mfulu\Omenuke-Mfulu,cd COD,MF,Elche,27-030,1994,15,5,491,5.5,0,0,0,0,0,0,0,0,0,0
339,Míchel\Michel,es ESP,MF,Valladolid,32-264,1988,14,7,618,6.9,0.29,0,0.29,0.29,0.29,0.04,0.05,0.09,0.04,0.09
340,Éder Militão\Eder-Militao,br BRA,DFMF,Real Madrid,23-091,1998,7,6,503,5.6,0,0,0,0,0,0.11,0,0.11,0.11,0.11
341,Luis Milla\Luis-Milla,es ESP,MF,Granada,26-194,1994,16,14,1253,13.9,0.07,0.07,0.14,0.07,0.14,0.04,0.15,0.19,0.04,0.19
342,Pere Milla\Pere-Milla,es ESP,FWMF,Elche,28-208,1992,26,17,1541,17.1,0.18,0.06,0.23,0.18,0.23,0.28,0.04,0.31,0.28,0.31
343,Alejandro Millán\Alejandro-Millan,es ESP,FW,Villarreal,21-163,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0
344,Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,25-133,1995,27,22,1813,20.1,0.4,0.05,0.45,0.4,0.45,0.33,0.05,0.38,0.33,0.38
345,Óscar Mingueza\Oscar-Mingueza,es ESP,DF,Barcelona,21-341,1999,21,18,1559,17.3,0.12,0.06,0.17,0.12,0.17,0.05,0.05,0.1,0.05,0.1
346,Rafa Mir\Rafa-Mir,es ESP,FW,Huesca,23-305,1997,31,25,2275,25.3,0.47,0.04,0.51,0.4,0.44,0.46,0.07,0.54,0.37,0.44
347,Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,31-321,1989,22,17,1549,17.2,0,0.12,0.12,0,0.12,0.04,0.06,0.1,0.04,0.1
348,Juan Miranda\Juan-Miranda,es ESP,DF,Betis,21-090,2000,16,12,1157,12.9,0.08,0.08,0.16,0.08,0.16,0.03,0.05,0.08,0.03,0.08
349,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,35-222,1985,30,27,2322,25.8,0.12,0.12,0.23,0.12,0.23,0.09,0.13,0.22,0.09,0.22
350,Johan Mojica\Johan-Mojica,co COL,DF,Elche,28-241,1992,14,13,1067,11.9,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
351,Guillem Molina\Guillem-Molina,es ESP,DF,Valencia,20-351,2000,1,0,74,0.8,0,0,0,0,0,0,0,0,0,0
352,Jorge Molina\Jorge-Molina,es ESP,FWMF,Granada,38-362,1982,25,12,1163,12.9,0.39,0.15,0.54,0.39,0.54,0.33,0.13,0.46,0.27,0.4
353,Victor Mollejo\Victor-Mollejo,es ESP,MFDF,Getafe,20-088,2001,4,0,72,0.8,0,0,0,0,0,0,0.08,0.08,0,0.08
354,Jon Moncayola\Jon-Moncayola,es ESP,MF,Osasuna,22-341,1998,29,24,2200,24.4,0.08,0,0.08,0.08,0.08,0.04,0.04,0.07,0.04,0.07
355,Nacho Monreal\Nacho-Monreal,es ESP,DF,Real Sociedad,35-052,1986,19,16,1508,16.8,0.06,0.06,0.12,0.06,0.12,0.04,0.07,0.12,0.04,0.12
356,Ángel Montoro\Angel-Montoro,es ESP,MF,Granada,32-298,1988,18,14,1158,12.9,0.08,0.08,0.16,0,0.08,0.09,0.12,0.21,0.03,0.16
357,Martín Montoya\Martin-Montoya,es ESP,DF,Betis,30-005,1991,5,2,239,2.7,0,0,0,0,0,0.02,0.13,0.15,0.02,0.15
358,Emre Mor\Emre-Mor,tr TUR,FWMF,Celta Vigo,23-269,1997,11,6,500,5.6,0,0,0,0,0,0.06,0.03,0.1,0.06,0.1
359,Jon Morcillo\Jon-Morcillo,es ESP,FWMF,Athletic Club,22-216,1998,23,9,881,9.8,0,0.2,0.2,0,0.2,0.1,0.21,0.31,0.1,0.31
360,Alberto Moreno\Alberto-Moreno,es ESP,MF,Villarreal,28-288,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0
361,Álex Moreno\Alex-Moreno,es ESP,DF,Betis,27-315,1993,21,19,1651,18.3,0,0.11,0.11,0,0.11,0.04,0.1,0.15,0.04,0.15
362,Gerard Moreno\Gerard-Moreno,es ESP,FWMF,Villarreal,29-012,1992,26,25,2177,24.2,0.83,0.21,1.03,0.45,0.66,0.71,0.26,0.97,0.42,0.69
363,Tete Morente\Tete-Morente,es ESP,MFFW,Elche,24-136,1996,27,20,1833,20.4,0.1,0.2,0.29,0.1,0.29,0.1,0.1,0.2,0.1,0.2
364,Loren Morón\Loren-Moron,es ESP,FWMF,Betis,27-110,1993,20,9,912,10.1,0.1,0,0.1,0.1,0.1,0.22,0.04,0.25,0.22,0.25
365,Pedro Mosquera\Pedro-Mosquera,es ESP,MF,Huesca,32-363,1988,21,21,1820,20.2,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05
366,Javi Moyano\Javi-Moyano,es ESP,DF,Valladolid,35-055,1986,2,2,103,1.1,0,0,0,0,0,0,0,0,0,0
367,Iker Muniain\Iker-Muniain,es ESP,MFFW,Athletic Club,28-121,1992,28,23,1943,21.6,0.23,0.14,0.37,0.23,0.37,0.18,0.14,0.32,0.18,0.32
368,Aihen Muñoz\Aihen-Munoz,es ESP,DF,Real Sociedad,23-246,1997,16,14,1210,13.4,0,0.07,0.07,0,0.07,0.02,0.05,0.07,0.02,0.07
369,Joaquín Muñoz\Joaquin-Munoz,es ESP,FW,Huesca,22-040,1999,3,0,41,0.5,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
370,Jeison Murillo\Jeison-Murillo,co COL,DF,Celta Vigo,28-327,1992,28,28,2429,27,0.04,0,0.04,0.04,0.04,0.02,0.01,0.02,0.02,0.02
371,Yunus Musah\Yunus-Musah,us USA,MF,Valencia,18-141,2002,28,15,1400,15.6,0.06,0,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09
372,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Eibar,28-278,1992,22,12,1044,11.6,0.09,0.09,0.17,0.09,0.17,0.15,0.09,0.24,0.15,0.24
373,Nacho\Nacho,es ESP,DF,Valladolid,32-043,1989,21,19,1633,18.1,0,0.06,0.06,0,0.06,0.02,0.09,0.1,0.02,0.1
374,Nacho\Nacho,es ESP,DF,Real Madrid,31-091,1990,17,17,1482,16.5,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03
375,Nano\Nano,es ESP,FWMF,Cádiz,26-073,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0
376,Roberto Navarro\Roberto-Navarro,es ESP,MF,Real Sociedad,19-007,2002,1,0,35,0.4,0,0,0,0,0,0,0.07,0.07,0,0.07
377,Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,31-086,1990,24,23,1922,21.4,0.05,0.05,0.09,0.05,0.09,0.01,0.05,0.06,0.01,0.06
378,Jesús Navas\Jesus-Navas,es ESP,DF,Sevilla,35-149,1985,28,28,2287,25.4,0,0.24,0.24,0,0.24,0.03,0.17,0.2,0.03,0.2
379,Raúl Navas\Raul-Navas,es ESP,DF,Osasuna,32-343,1988,2,2,168,1.9,0,0,0,0,0,0,0.01,0.01,0,0.01
380,Álvaro Negredo\Alvaro-Negredo,es ESP,FW,Cádiz,35-242,1985,28,26,1950,21.7,0.32,0.14,0.46,0.32,0.46,0.29,0.1,0.39,0.29,0.39
381,Neto\Neto,br BRA,GK,Barcelona,31-274,1989,6,6,540,6,0,0,0,0,0,0,0,0,0,0
382,Carlos Neva\Carlos-Neva,es ESP,DF,Granada,24-311,1996,20,20,1716,19.1,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03
383,Mamor Niang\Mamor-Niang,sn SEN,FWMF,Getafe,19-074,2002,1,0,22,0.2,0,0,0,0,0,0.24,0,0.24,0.24,0.24
384,Manuel Nieto\Manuel-Nieto,es ESP,FWMF,Cádiz,23-021,1998,2,0,14,0.2,0,0,0,0,0,1.73,0,1.73,1.73,1.73
385,Saúl Ñíguez\Saul-Niguez,es ESP,MFDF,Atlético Madrid,26-149,1994,26,17,1627,18.1,0.11,0.06,0.17,0.11,0.17,0.12,0.05,0.18,0.07,0.12
386,Nino\Nino,es ESP,MFFW,Elche,40-313,1980,13,0,251,2.8,0,0,0,0,0,0.12,0.3,0.42,0.12,0.42
387,Fernando Niño\Fernando-Nino,es ESP,FW,Villarreal,20-177,2000,14,7,511,5.7,0.53,0,0.53,0.53,0.53,0.73,0.03,0.76,0.73,0.76
388,Nolito\Nolito,es ESP,MFFW,Celta Vigo,34-186,1986,29,28,2106,23.4,0.26,0.21,0.47,0.26,0.47,0.25,0.26,0.51,0.25,0.51
389,Unai Núñez\Unai-Nunez,es ESP,DF,Athletic Club,24-079,1997,18,16,1479,16.4,0.06,0.06,0.12,0.06,0.12,0.1,0.03,0.13,0.1,0.13
390,Kelechi Nwakali\Kelechi-Nwakali,ng NGA,MFFW,Huesca,22-318,1998,5,1,141,1.6,0,0,0,0,0,0,0.01,0.01,0,0.01
391,Allan Nyom\Allan-Nyom,cm CMR,MFDF,Getafe,32-344,1988,27,25,2027,22.5,0,0.09,0.09,0,0.09,0.02,0.08,0.1,0.02,0.1
392,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,28-102,1993,31,31,2790,31,0,0,0,0,0,0,0,0,0,0
393,Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,26-282,1994,27,24,2132,23.7,0.17,0.17,0.34,0,0.17,0.38,0.15,0.53,0.2,0.35
394,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,25-126,1995,6,4,364,4,0,0,0,0,0,0,0,0,0,0
395,Shinji Okazaki\Shinji-Okazaki,jp JPN,FW,Huesca,35-003,1986,21,13,1040,11.6,0.09,0.09,0.17,0.09,0.17,0.16,0.03,0.18,0.16,0.18
396,Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,26-272,1994,18,18,1615,17.9,0,0.11,0.11,0,0.11,0.02,0.12,0.14,0.02,0.14
397,Lucas Olaza\Lucas-Olaza,uy URU,DF,Valladolid,26-272,1994,8,8,720,8,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05
398,Christian Oliva\Christian-Oliva,uy URU,MF,Valencia,24-322,1996,6,1,142,1.6,0,0.63,0.63,0,0.63,0.01,0.1,0.12,0.01,0.12
399,Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,29-101,1992,24,22,2026,22.5,0,0.04,0.04,0,0.04,0.02,0,0.02,0.02,0.02
400,Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,23-170,1997,26,25,2164,24,0,0,0,0,0,0.05,0.07,0.12,0.05,0.12
401,Javier Ontiveros\Javier-Ontiveros,es ESP,FWMF,Huesca,23-222,1997,20,10,918,10.2,0.2,0.1,0.29,0.1,0.2,0.18,0.16,0.34,0.11,0.27
402,Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Valladolid,35-082,1986,26,23,1849,20.5,0.24,0.1,0.34,0.05,0.15,0.28,0.15,0.43,0.13,0.28
403,Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,23-363,1997,26,24,1886,21,0.48,0.33,0.81,0.19,0.52,0.51,0.25,0.76,0.24,0.49
404,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,28-336,1992,31,31,2790,31,0,0,0,0,0,0,0,0,0,0
405,Helibelton Palacios\Helibelton-Palacios,co COL,DF,Elche,27-314,1993,5,4,405,4.5,0,0,0,0,0,0,0.01,0.01,0,0.01
406,Ante Palaversa\Ante-Palaversa,hr CRO,MFFW,Getafe,21-013,2000,2,0,9,0.1,0,0,0,0,0,0,0.57,0.57,0,0.57
407,Daniel Parejo\Daniel-Parejo,es ESP,MF,Villarreal,32-003,1989,29,29,2566,28.5,0.11,0.14,0.25,0.11,0.25,0.05,0.16,0.21,0.05,0.21
408,Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,27-310,1993,3,2,200,2.2,0,0,0,0,0,0.05,0,0.05,0.05,0.05
409,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,30-144,1990,24,24,2086,23.2,0.13,0.04,0.17,0.13,0.17,0.02,0.01,0.03,0.02,0.03
410,Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Villarreal,25-010,1996,26,21,1823,20.3,0.05,0.1,0.15,0.05,0.15,0.09,0.16,0.25,0.09,0.25
411,Pedri\Pedri,es ESP,MF,Barcelona,18-145,2002,30,22,1977,22,0.09,0.14,0.23,0.09,0.23,0.11,0.21,0.31,0.11,0.31
412,Facundo Pellistri\Facundo-Pellistri,uy URU,MF,Alavés,19-120,2001,7,4,410,4.6,0,0,0,0,0,0.08,0,0.08,0.08,0.08
413,Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,29-275,1991,15,10,904,10,0.1,0,0.1,0.1,0.1,0.05,0.02,0.08,0.05,0.08
414,Pepe\Pepe,es ESP,DF,Granada,21-048,2000,2,2,163,1.8,0,0,0,0,0,0.02,0,0.02,0.02,0.02
415,Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,30-121,1990,24,15,1400,15.6,0.06,0.13,0.19,0.06,0.19,0.07,0.13,0.2,0.07,0.2
416,Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,33-091,1988,21,15,1268,14.1,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07
417,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,24-278,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0
418,Kike Pérez\Kike-Perez,es ESP,MF,Valladolid,24-064,1997,21,11,1039,11.5,0,0,0,0,0,0.08,0.08,0.15,0.08,0.15
419,Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,32-221,1988,22,15,1436,16,0.25,0.19,0.44,0.06,0.25,0.38,0.21,0.59,0.18,0.38
420,Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,26-074,1995,18,12,1113,12.4,0,0,0,0,0,0.01,0.03,0.03,0.01,0.03
421,Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,20-299,2000,7,5,481,5.3,0,0,0,0,0,0.05,0,0.05,0.05,0.05
422,Pablo Piatti\Pablo-Piatti,ar ARG,FWMF,Elche,32-019,1989,3,0,54,0.6,0,0,0,0,0,0.21,0.32,0.53,0.21,0.53
423,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,28-205,1992,1,0,23,0.3,0,0,0,0,0,,,,,
424,Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,33-187,1987,26,24,1989,22.1,0.05,0,0.05,0.05,0.05,0.03,0.01,0.03,0.03,0.03
425,Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,18-181,2002,17,3,500,5.6,0.18,0.18,0.36,0.18,0.36,0.11,0.12,0.23,0.11,0.23
426,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,34-076,1987,11,11,923,10.3,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
427,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Barcelona,31-017,1990,17,6,605,6.7,0,0,0,0,0,0.17,0.12,0.3,0.17,0.3
428,Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,30-067,1991,28,22,1828,20.3,0.15,0.2,0.34,0.15,0.34,0.13,0.06,0.19,0.13,0.19
429,Dani Plomer\Dani-Plomer,es ESP,FW,Granada,22-140,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0
430,Jorge Pombo\Jorge-Pombo,es ESP,FWMF,Cádiz,27-056,1994,9,4,434,4.8,0.21,0,0.21,0.21,0.21,0.27,0.08,0.35,0.27,0.35
431,Pere Pons\Pere-Pons,es ESP,MF,Alavés,28-058,1993,15,8,806,9,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13
432,Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,30-310,1990,16,3,418,4.6,0,0.22,0.22,0,0.22,0,0.1,0.1,0,0.1
433,Portu\Portu,es ESP,FWMF,Real Sociedad,28-333,1992,30,19,1712,19,0.37,0.16,0.53,0.37,0.53,0.24,0.26,0.5,0.24,0.5
434,Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,32-166,1988,19,16,1388,15.4,0,0,0,0,0,0,0,0,0,0
435,Darío Poveda\Dario-Poveda,es ESP,FW,Getafe,24-037,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0
436,Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Eibar,22-056,1999,26,22,2031,22.6,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05
437,Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,29-057,1992,28,16,1654,18.4,0.05,0.22,0.27,0.05,0.27,0.19,0.09,0.27,0.19,0.27
438,Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,21-249,1999,11,2,205,2.3,0.44,0,0.44,0.44,0.44,0.12,0.05,0.17,0.12,0.17
439,Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,30-011,1991,27,26,2345,26.1,0.04,0,0.04,0.04,0.04,0.1,0.02,0.12,0.1,0.12
440,Domingos Quina\Domingos-Quina,pt POR,MF,Granada,21-152,1999,6,5,310,3.4,0.58,0,0.58,0.58,0.58,0.06,0.04,0.1,0.06,0.1
441,Quini\Quini,es ESP,DF,Granada,31-207,1989,12,6,606,6.7,0.15,0,0.15,0.15,0.15,0.04,0.04,0.08,0.04,0.08
442,Quique\Quique,es ESP,FWMF,Eibar,30-338,1990,10,0,122,1.4,0,0,0,0,0,0.08,0,0.08,0.08,0.08
443,Dani Raba\Dani-Raba,es ESP,MF,Villarreal,25-172,1995,1,0,30,0.3,0,0,0,0,0,0.15,0,0.15,0.15,0.15
444,Uroš Račić\Uros-Racic,rs SRB,MF,Valencia,23-033,1998,24,20,1739,19.3,0.05,0.05,0.1,0.05,0.1,0.07,0.02,0.09,0.07,0.09
445,Nemanja Radoja\Nemanja-Radoja,rs SRB,MF,Levante,28-072,1993,21,13,1121,12.5,0,0.16,0.16,0,0.16,0.02,0.02,0.05,0.02,0.05
446,Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Sevilla,33-040,1988,30,21,1868,20.8,0.1,0.05,0.14,0.1,0.14,0.15,0.05,0.19,0.15,0.19
447,Jonás Ramalho\Jonas-Ramalho,es ESP,DF,Osasuna,27-313,1993,1,0,16,0.2,0,0,0,0,0,,,,,
448,Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Huesca,25-284,1995,13,10,750,8.3,0.48,0.12,0.6,0.48,0.6,0.22,0.01,0.23,0.22,0.23
449,Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,35-020,1986,15,15,1275,14.2,0.14,0,0.14,0,0,0.27,0.02,0.28,0.16,0.18
450,Recio\Recio,es ESP,MF,Eibar,30-098,1991,12,5,398,4.4,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1
451,Francisco Reis Ferreira\Francisco-Reis-Ferreira,pt POR,DF,Valencia,24-024,1997,2,1,91,1,0,0,0,0,0,0,0,0,0,0
452,Karim Rekik\Karim-Rekik,nl NED,DF,Sevilla,26-138,1994,10,5,563,6.3,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
453,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,26-026,1995,31,31,2790,31,0,0,0,0,0,0,0,0,0,0
454,Oriol Rey\Oriol-Rey,es ESP,MF,Valladolid,23-053,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0
455,Ricard\Ricard,es ESP,DF,Atlético Madrid,21-056,2000,1,0,30,0.3,0,0,0,0,0,0.07,0,0.07,0.07,0.07
456,Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,36-166,1984,26,21,1761,19.6,0.05,0.1,0.15,0.05,0.15,0.1,0.07,0.17,0.1,0.17
457,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,28-074,1993,21,12,1115,12.4,0.08,0.08,0.16,0.08,0.16,0.16,0.16,0.32,0.16,0.32
458,Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,27-185,1993,28,21,1715,19.1,0.1,0.05,0.16,0.1,0.16,0.14,0.12,0.27,0.14,0.27
459,Rober\Rober,es ESP,DF,Levante,26-062,1995,12,9,856,9.5,0,0.11,0.11,0,0.11,0,0.08,0.08,0,0.08
460,Roberto\Roberto,es ESP,GK,Valladolid,35-068,1986,10,10,900,10,0,0,0,0,0,0,0,0,0,0
461,Sergi Roberto\Sergi-Roberto,es ESP,DFMF,Barcelona,29-071,1992,9,7,677,7.5,0.13,0.27,0.4,0.13,0.4,0.06,0.22,0.28,0.06,0.28
462,Joel Robles\Joel-Robles,es ESP,GK,Betis,30-306,1990,18,18,1620,18,0,0,0,0,0,0,0,0,0,0
463,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,30-027,1991,23,17,1349,15,0,0.07,0.07,0,0.07,0.11,0.13,0.24,0.11,0.24
464,Rodrigo\Rodrigo,es ESP,FWMF,Betis,20-338,2000,11,3,381,4.2,0,0,0,0,0,0.02,0.1,0.12,0.02,0.12
465,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,27-045,1994,19,10,1033,11.5,0.09,0.09,0.17,0.09,0.17,0.05,0.05,0.11,0.05,0.11
466,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,22-295,1998,14,3,362,4,0,0,0,0,0,0.11,0.19,0.29,0.11,0.29
467,Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,33-358,1987,27,9,1181,13.1,0.38,0,0.38,0.3,0.3,0.35,0.04,0.39,0.23,0.27
468,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,27-007,1994,28,27,2234,24.8,0.04,0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06
469,Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,17-355,2003,4,0,30,0.3,0,0,0,0,0,0,0,0,0,0
470,Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,31-270,1989,13,2,363,4,0,0,0,0,0,0,0.12,0.12,0,0.12
471,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,20-100,2001,16,6,636,7.1,0,0.71,0.71,0,0.71,0.19,0.41,0.6,0.19,0.6
472,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,34-068,1987,16,13,1142,12.7,0.08,0.08,0.16,0.08,0.16,0.03,0.01,0.04,0.03,0.04
473,Rubén\Ruben,es ESP,GKMF,Osasuna,36-301,1984,3,3,187,2.1,0,0,0,0,0,0,0,0,0,0
474,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,25-245,1995,9,5,363,4,0.25,0,0.25,0,0,0.26,0,0.26,0.07,0.07
475,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,25-028,1996,22,17,1264,14,0.07,0.07,0.14,0.07,0.14,0.1,0.15,0.24,0.1,0.24
476,Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,20-064,2001,1,1,67,0.7,0,0,0,0,0,0,0,0,0,0
477,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,32-084,1989,21,18,1617,18,0.06,0,0.06,0.06,0.06,0.02,0,0.02,0.02,0.02
478,Modibo Sagnan\Modibo-Sagnan,ml MLI,DFMF,Real Sociedad,22-005,1999,14,6,558,6.2,0,0,0,0,0,0.1,0.03,0.12,0.1,0.12
479,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,20-077,2001,19,2,424,4.7,0.21,0,0.21,0.21,0.21,0.23,0.07,0.3,0.23,0.3
480,Salvi\Salvi,es ESP,MFFW,Cádiz,30-020,1991,26,23,1824,20.3,0.1,0,0.1,0.1,0.1,0.1,0.06,0.16,0.1,0.16
481,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,24-034,1997,20,14,1191,13.2,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
482,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,25-046,1996,16,10,932,10.4,0.29,0,0.29,0.29,0.29,0.41,0.02,0.44,0.41,0.44
483,Oihan Sancet\Oihan-Sancet,es ESP,FWMF,Athletic Club,20-359,2000,16,4,467,5.2,0.19,0.19,0.39,0.19,0.39,0.28,0.14,0.42,0.28,0.42
484,Juan Sánchez Miño\Juan-Sanchez-Mino,ar ARG,DFMF,Elche,31-108,1990,9,5,495,5.5,0,0,0,0,0,0,0,0,0,0
485,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,34-170,1986,26,22,1973,21.9,0.14,0.05,0.18,0.14,0.18,0.06,0,0.07,0.06,0.07
486,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,24-036,1997,13,8,709,7.9,0,0,0,0,0,0.02,0,0.02,0.02,0.02
487,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,20-238,2000,1,1,49,0.5,0,1.84,1.84,0,1.84,0,0.61,0.61,0,0.61
488,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Osasuna,20-238,2000,11,6,574,6.4,0,0.47,0.47,0,0.47,0.02,0.06,0.08,0.02,0.08
489,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,34-329,1986,28,20,1797,20,0,0.1,0.1,0,0.1,0.03,0.09,0.12,0.03,0.12
490,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,Cádiz,23-260,1997,5,0,131,1.5,0,0,0,0,0,0.3,0,0.3,0.3,0.3
491,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,30-101,1991,27,27,2413,26.8,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
492,Jaime Seoane\Jaime-Seoane,es ESP,MF,Huesca,24-087,1997,24,18,1665,18.5,0.05,0.05,0.11,0.05,0.11,0.07,0.05,0.12,0.07,0.12
493,Edgar Sevikyan\Edgar-Sevikyan,ru RUS,MF,Levante,19-254,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0
494,Sidnei\Sidnei,br BRA,DF,Betis,31-239,1989,11,7,697,7.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
495,David Silva\David-Silva,es ESP,MF,Real Sociedad,35-101,1986,17,14,1150,12.8,0.08,0.31,0.39,0.08,0.39,0.11,0.27,0.37,0.11,0.37
496,Gastón Silva\Gaston-Silva,uy URU,DF,Huesca,27-045,1994,8,5,409,4.5,0,0,0,0,0,0,0,0,0,0
497,Rui Silva\Rui-Silva,pt POR,GK,Granada,27-071,1994,29,29,2610,29,0,0,0,0,0,0,0,0,0,0
498,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,23-312,1997,30,30,2700,30,0,0,0,0,0,0,0,0,0,0
499,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Huesca,32-215,1988,29,28,2498,27.8,0.07,0,0.07,0.07,0.07,0.04,0,0.04,0.04,0.04
500,Rafa Soares\Rafa-Soares,pt POR,DF,Eibar,25-345,1995,16,10,962,10.7,0,0,0,0,0,0,0.09,0.1,0,0.1
501,Rubén Sobrino\Ruben-Sobrino,es ESP,MFFW,Valencia,28-322,1992,5,0,49,0.5,0,0,0,0,0,0,0.05,0.05,0,0.05
502,Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Cádiz,28-322,1992,9,7,699,7.8,0,0,0,0,0,0.09,0.07,0.16,0.09,0.16
503,Augusto Solari\Augusto-Solari,ar ARG,MF,Celta Vigo,29-106,1992,9,2,274,3,0,0.66,0.66,0,0.66,0.02,0.4,0.42,0.02,0.42
