Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
216,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-110,1996,30,27,2410,26.8,0.07,0,0.07,0.07,0.07,0.05,0,0.06,0.05,0.06
217,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-100,1991,19,17,1375,15.3,0.07,0,0.07,0.07,0.07,0.02,0,0.02,0.02,0.02
218,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-230,1995,23,9,843,9.4,0.43,0.21,0.64,0.43,0.64,0.37,0.18,0.55,0.37,0.55
219,Eden Hazard\Eden-Hazard,be BEL,FW,Real Madrid,30-102,1991,9,6,392,4.4,0.46,0.23,0.69,0.46,0.69,0.28,0.11,0.39,0.28,0.39
220,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-305,1995,25,25,2164,24,0.04,0.04,0.08,0.04,0.08,0.04,0.01,0.05,0.04,0.05
221,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-027,1989,21,21,1756,19.5,0,0,0,0,0,0,0.03,0.03,0,0.03
222,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-000,1990,12,6,532,5.9,0,0.17,0.17,0,0.17,0.01,0.04,0.05,0.01,0.05
223,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-318,1993,28,27,2508,27.9,0,0,0,0,0,0,0,0,0,0
224,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-102,1998,27,20,1925,21.4,0.14,0.05,0.19,0.14,0.19,0.08,0.05,0.13,0.08,0.13
225,Pablo Hervías\Pablo-Hervias,es ESP,DFFW,Valladolid,28-042,1993,22,9,1046,11.6,0,0.34,0.34,0,0.34,0.03,0.22,0.25,0.03,0.25
226,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,21-221,1999,3,0,110,1.2,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09
227,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,33-093,1988,13,10,928,10.3,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03
228,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,25-052,1996,3,0,27,0.3,0,0,0,0,0,0.96,0,0.96,0.96,0.96
229,Iglesias\Iglesias,es ESP,DF,Getafe,22-290,1998,4,3,274,3,0,0,0,0,0,0.03,0,0.03,0.03,0.03
230,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,28-092,1993,21,8,859,9.5,0.73,0,0.73,0.42,0.42,0.53,0.03,0.55,0.28,0.31
231,Ilaix\Ilaix,es ESP,MFDF,Barcelona,18-090,2003,7,1,185,2.1,0.49,0.97,1.46,0.49,1.46,0.28,0.29,0.57,0.28,0.57
232,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,31-042,1990,5,5,327,3.6,0,0,0,0,0,0,0.01,0.01,0,0.01
233,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,27-222,1993,18,15,1436,16,0,0,0,0,0,0,0,0.01,0,0.01
234,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32-321,1988,26,21,1720,19.1,0.05,0,0.05,0.05,0.05,0.12,0.1,0.22,0.12,0.22
235,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,21-210,1999,27,23,1861,20.7,0.63,0.1,0.73,0.63,0.73,0.6,0.08,0.68,0.6,0.68
236,Isco\Isco,es ESP,MFFW,Real Madrid,28-363,1992,20,7,728,8.1,0,0.12,0.12,0,0.12,0.2,0.17,0.37,0.2,0.37
237,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,27-179,1993,24,10,1069,11.9,0.08,0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1
238,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,25-179,1995,13,9,778,8.6,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
239,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,26-073,1995,21,8,740,8.2,0.24,0.24,0.49,0.12,0.36,0.41,0.29,0.7,0.32,0.61
240,Jason\Jason,es ESP,MFDF,Valencia,26-287,1994,15,4,425,4.7,0,0,0,0,0,0.04,0.12,0.15,0.04,0.15
241,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,23-138,1997,20,13,1195,13.3,0.38,0,0.38,0.38,0.38,0.34,0.08,0.42,0.34,0.42
242,Joaquín\Joaquin,es ESP,FWMF,Betis,39-272,1981,23,13,1084,12,0.17,0.5,0.66,0.17,0.66,0.08,0.19,0.27,0.08,0.27
243,John Joe\John-Joe,ie IRL,MFDF,Getafe,17-207,2003,6,0,65,0.7,0,0,0,0,0,0.18,0,0.18,0.18,0.18
244,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,23-342,1997,30,28,2541,28.2,0.11,0.14,0.25,0.11,0.25,0.13,0.12,0.25,0.13,0.25
245,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,30-235,1990,28,12,1105,12.3,0.33,0,0.33,0.33,0.33,0.22,0.07,0.28,0.22,0.28
246,Jony\Jony,es ESP,MFFW,Osasuna,29-284,1991,16,8,712,7.9,0,0.13,0.13,0,0.13,0.08,0.27,0.35,0.08,0.35
247,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,26-287,1994,29,24,2033,22.6,0.04,0.27,0.31,0.04,0.31,0.07,0.12,0.19,0.07,0.19
248,Josan\Josan,es ESP,MFDF,Elche,31-137,1989,26,20,1614,17.9,0.22,0.11,0.33,0.22,0.33,0.09,0.08,0.16,0.09,0.16
249,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,29-147,1991,13,8,689,7.7,0.39,0.13,0.52,0.39,0.52,0.56,0.11,0.67,0.46,0.58
250,Joselu\Joselu,es ESP,FW,Alavés,31-023,1990,30,28,2479,27.5,0.25,0.04,0.29,0.18,0.22,0.38,0.08,0.46,0.27,0.34
251,Josema\Josema,es ESP,DF,Elche,24-317,1996,24,18,1745,19.4,0,0.05,0.05,0,0.05,0.01,0.02,0.04,0.01,0.04
252,Jota\Jota,es ESP,MF,Alavés,29-307,1991,18,14,1109,12.3,0,0.08,0.08,0,0.08,0.05,0.13,0.18,0.05,0.18
253,Jota\Jota,pt POR,FW,Valladolid,22-020,1999,12,5,467,5.2,0.19,0,0.19,0.19,0.19,,,,,
254,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,23-117,1997,4,2,149,1.7,0,0,0,0,0,0.67,0.08,0.75,0.67,0.75
255,Juanmi\Juanmi,es ESP,FWMF,Betis,27-334,1993,15,5,593,6.6,0.3,0,0.3,0.3,0.3,0.51,0.01,0.52,0.51,0.52
256,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,20-281,2000,28,16,1562,17.4,0.17,0.17,0.35,0.17,0.35,0.32,0.18,0.5,0.32,0.5
257,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,28-099,1993,29,27,2139,23.8,0,0,0,0,0,0.03,0.06,0.08,0.03,0.08
