Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Kelechi Nwakali\Kelechi-Nwakali,ng NGA,MFFW,Huesca,22-316,1998,1.6,0,0,0,,0,0,,,
Allan Nyom\Allan-Nyom,cm CMR,MFDF,Getafe,32-342,1988,21.5,0,9,2,22.2,0.42,0.09,0,0,14.5
Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,28-100,1993,30,0,0,0,,0,0,,,
Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,Sevilla,26-280,1994,22.7,4,47,10,21.3,2.07,0.44,0,0,16.8
Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Real Madrid,25-124,1995,3,0,0,0,,0,0,,,
Shinji Okazaki\Shinji-Okazaki,jp JPN,FW,Huesca,35-001,1986,11.6,1,18,4,22.2,1.56,0.35,0.06,0.25,13.7
Lucas Olaza\Lucas-Olaza,uy URU,DF,Celta Vigo,26-270,1994,17.9,0,11,2,18.2,0.61,0.11,0,0,26.9
Lucas Olaza\Lucas-Olaza,uy URU,DF,Valladolid,26-270,1994,8,0,3,0,0,0.37,0,0,,20.5
Christian Oliva\Christian-Oliva,uy URU,MF,Valencia,24-320,1996,1.5,0,1,1,100,0.68,0.68,0,0,31.1
Paulo Oliveira\Paulo-Oliveira,pt POR,DF,Eibar,29-099,1992,22.2,0,8,3,37.5,0.36,0.14,0,0,11.5
Mathías Olivera\Mathias-Olivera,uy URU,DF,Getafe,23-168,1997,23,0,9,2,22.2,0.39,0.09,0,0,12.2
Javier Ontiveros\Javier-Ontiveros,es ESP,FWMF,Huesca,23-220,1997,10.2,2,35,9,25.7,3.43,0.88,0.03,0.11,24.8
Fabián Orellana\Fabian-Orellana,cl CHI,MFFW,Valladolid,35-080,1986,20.5,5,21,11,52.4,1.02,0.54,0.05,0.09,18.9
Mikel Oyarzabal\Mikel-Oyarzabal,es ESP,FWMF,Real Sociedad,23-361,1997,20.1,10,50,19,38,2.48,0.94,0.08,0.21,19.3
Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,28-334,1992,30,0,0,0,,0,0,,,
Helibelton Palacios\Helibelton-Palacios,co COL,DF,Elche,27-312,1993,3.5,0,0,0,,0,0,,,
Ante Palaversa\Ante-Palaversa,hr CRO,MFFW,Getafe,21-011,2000,0.1,0,0,0,,0,0,,,
Daniel Parejo\Daniel-Parejo,es ESP,MF,Villarreal,32-001,1989,27.6,3,25,9,36,0.91,0.33,0.12,0.33,23
Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,27-308,1993,2.2,0,5,0,0,2.25,0,0,,35.5
Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,30-142,1990,23.2,3,12,5,41.7,0.52,0.22,0.25,0.6,15.1
Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Villarreal,25-008,1996,19.3,1,19,6,31.6,0.99,0.31,0.05,0.17,17.7
Pedri\Pedri,es ESP,MF,Barcelona,18-143,2002,22,2,18,5,27.8,0.82,0.23,0.11,0.4,16.5
Facundo Pellistri\Facundo-Pellistri,uy URU,MF,Alavés,19-118,2001,4.3,0,5,2,40,1.17,0.47,0,0,20.8
Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,29-273,1991,9.9,1,6,2,33.3,0.6,0.2,0.17,0.5,15.6
Pepe\Pepe,es ESP,DF,Granada,21-046,2000,1.8,0,1,0,0,0.55,0,0,,24.7
Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,30-119,1990,15.6,1,25,5,20,1.61,0.32,0.04,0.2,21.2
Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,33-089,1988,14.1,0,9,2,22.2,0.64,0.14,0,0,25.4
Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,24-276,1996,1,0,0,0,,0,0,,,
Kike Pérez\Kike-Perez,es ESP,MF,Valladolid,24-062,1997,11.5,0,13,4,30.8,1.13,0.35,0,0,21.4
Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,32-219,1988,15,4,21,6,28.6,1.4,0.4,0.05,0.17,18.4
Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,26-072,1995,12.4,0,1,0,0,0.08,0,0,,19.7
Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,20-297,2000,5.3,0,4,0,0,0.75,0,0,,9.1
Pablo Piatti\Pablo-Piatti,ar ARG,FWMF,Elche,32-017,1989,0.3,0,1,1,100,3.21,3.21,0,0,22
Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,33-185,1987,21.1,1,9,1,11.1,0.43,0.05,0.11,1,17.3
Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,18-179,2002,5.4,1,7,2,28.6,1.29,0.37,0.14,0.5,13.7
Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,34-074,1987,10.3,0,3,0,0,0.29,0,0,,7.8
Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Barcelona,31-015,1990,6.7,0,15,3,20,2.23,0.45,0,0,21.8
Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,30-065,1991,20.3,3,24,6,25,1.18,0.3,0.13,0.5,16.8
Dani Plomer\Dani-Plomer,es ESP,FW,Granada,22-138,1998,0.5,0,0,0,,0,0,,,
Jorge Pombo\Jorge-Pombo,es ESP,FWMF,Cádiz,27-054,1994,4.8,1,13,4,30.8,2.7,0.83,0.08,0.25,20.1
Pere Pons\Pere-Pons,es ESP,MF,Alavés,28-056,1993,8.2,0,4,1,25,0.49,0.12,0,0,15.1
Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,30-308,1990,4.6,0,0,0,,0,0,,,
Portu\Portu,es ESP,FWMF,Real Sociedad,28-331,1992,18.9,7,25,9,36,1.32,0.48,0.28,0.78,13
Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,32-164,1988,14.4,0,1,0,0,0.07,0,0,,11.2
Darío Poveda\Dario-Poveda,es ESP,FW,Getafe,24-035,1997,0.1,0,0,0,,0,0,,,
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Eibar,22-054,1999,21.6,0,10,1,10,0.46,0.05,0,0,22.3
Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,29-055,1992,18.4,1,21,8,38.1,1.14,0.44,0.05,0.13,15.3
Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,21-247,1999,2.3,1,4,2,50,1.76,0.88,0.25,0.5,17
Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,30-009,1991,25.1,1,15,2,13.3,0.6,0.08,0.07,0.5,12.5
Domingos Quina\Domingos-Quina,pt POR,MF,Granada,21-150,1999,3.4,2,7,2,28.6,2.03,0.58,0.29,1,21.9
Quini\Quini,es ESP,DF,Granada,31-205,1989,6.7,1,5,2,40,0.74,0.3,0.2,0.5,22.5
Quique\Quique,es ESP,FWMF,Eibar,30-336,1990,1.1,0,2,1,50,1.75,0.87,0,0,16.5
Dani Raba\Dani-Raba,es ESP,MF,Villarreal,25-170,1995,0.3,0,2,0,0,6,0,0,,21
Uroš Račić\Uros-Racic,rs SRB,MF,Valencia,23-031,1998,18.4,1,27,7,25.9,1.47,0.38,0.04,0.14,21.4
Nemanja Radoja\Nemanja-Radoja,rs SRB,MF,Levante,28-070,1993,12.5,0,7,0,0,0.56,0,0,,22.2
Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Sevilla,33-038,1988,20.5,2,31,7,22.6,1.51,0.34,0.06,0.29,18.5
Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Huesca,25-282,1995,7.6,4,14,11,78.6,1.84,1.45,0.29,0.36,17.5
Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,35-018,1986,14.2,2,15,4,26.7,1.06,0.28,0,0,12.1
Recio\Recio,es ESP,MF,Eibar,30-096,1991,4.2,0,8,0,0,1.9,0,0,,19.7
Francisco Reis Ferreira\Francisco-Reis-Ferreira,pt POR,DF,Valencia,24-022,1997,1,0,0,0,,0,0,,,
Karim Rekik\Karim-Rekik,nl NED,DF,Sevilla,26-136,1994,6.3,0,3,0,0,0.48,0,0,,8.4
Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,26-024,1995,30,0,0,0,,0,0,,,
Oriol Rey\Oriol-Rey,es ESP,MF,Valladolid,23-051,1998,0.2,0,0,0,,0,0,,,
Ricard\Ricard,es ESP,DF,Atlético Madrid,21-054,2000,0.3,0,1,0,0,3,0,0,,19.2
Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,36-164,1984,19.4,1,16,5,31.3,0.82,0.26,0.06,0.2,15.3
Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,28-072,1993,11.7,1,13,4,30.8,1.11,0.34,0.08,0.25,21.9
Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,27-183,1993,19,2,18,8,44.4,0.95,0.42,0.11,0.25,18
Rober\Rober,es ESP,DF,Levante,26-060,1995,9.5,0,0,0,,0,0,,,
Roberto\Roberto,es ESP,GK,Valladolid,35-066,1986,10,0,0,0,,0,0,,,
Sergi Roberto\Sergi-Roberto,es ESP,DFMF,Barcelona,29-069,1992,7.5,1,4,1,25,0.53,0.13,0.25,1,18.1
Joel Robles\Joel-Robles,es ESP,GK,Betis,30-304,1990,18,0,0,0,,0,0,,,
Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,30-025,1991,14.2,0,33,7,21.2,2.32,0.49,0,0,24.6
Rodrigo\Rodrigo,es ESP,FWMF,Betis,20-336,2000,4.2,0,3,0,0,0.71,0,0,,23.4
Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,27-043,1994,10.7,1,9,4,44.4,0.84,0.37,0.11,0.25,22.1
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,22-293,1998,4,0,8,1,12.5,1.99,0.25,0,0,22.6
Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,33-356,1987,12.8,5,28,9,32.1,2.18,0.7,0.14,0.44,16.9
Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,27-005,1994,23.8,1,22,4,18.2,0.92,0.17,0.05,0.25,19.6
Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,17-353,2003,0.3,0,0,0,,0,0,,,
Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,31-268,1989,3.9,0,0,0,,0,0,,,
Rodrygo\Rodrygo,br BRA,FW,Real Madrid,20-098,2001,6.4,0,13,4,30.8,2.05,0.63,0,0,14.8
Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,34-066,1987,12.5,1,12,2,16.7,0.96,0.16,0.08,0.5,26.2
Rubén\Ruben,es ESP,GKMF,Osasuna,36-299,1984,2.1,0,0,0,,0,0,,,
Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,25-243,1995,4,1,8,1,12.5,1.98,0.25,0,0,23.1
Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,25-026,1996,13.9,1,22,8,36.4,1.58,0.57,0.05,0.13,18.3
Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,20-062,2001,0.7,0,0,0,,0,0,,,
Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,32-082,1989,17,1,3,3,100,0.18,0.18,0.33,0.33,13.6
Modibo Sagnan\Modibo-Sagnan,ml MLI,DFMF,Real Sociedad,22-003,1999,6.2,0,5,1,20,0.81,0.16,0,0,24.1
Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,20-075,2001,4.7,1,7,4,57.1,1.49,0.85,0.14,0.25,15
Salvi\Salvi,es ESP,MFFW,Cádiz,30-018,1991,19.5,2,16,5,31.3,0.82,0.26,0.13,0.4,18.2
Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,24-032,1997,13.2,0,3,0,0,0.23,0,0,,23
Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,25-044,1996,10.4,3,24,12,50,2.32,1.16,0.13,0.25,11.6
Oihan Sancet\Oihan-Sancet,es ESP,FWMF,Athletic Club,20-357,2000,5.2,1,8,3,37.5,1.54,0.58,0.13,0.33,13
Juan Sánchez Miño\Juan-Sanchez-Mino,ar ARG,DFMF,Elche,31-106,1990,5.5,0,0,0,,0,0,,,
Germán Sánchez\German-Sanchez,es ESP,DF,Granada,34-168,1986,21.9,3,10,4,40,0.46,0.18,0.3,0.75,9
Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,24-034,1997,7.9,0,2,0,0,0.25,0,0,,7
Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Osasuna,20-236,2000,5.6,0,3,1,33.3,0.54,0.18,0,0,18.2
Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,20-236,2000,0.5,0,0,0,,0,0,,,
Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,34-327,1986,19.9,0,12,3,25,0.6,0.15,0,0,15.1
Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,Cádiz,23-258,1997,1.5,0,3,2,66.7,2.06,1.37,0,0,8.3
Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,30-099,1991,26,0,5,1,20,0.19,0.04,0,0,5.9
Jaime Seoane\Jaime-Seoane,es ESP,MF,Huesca,24-085,1997,17.7,1,17,6,35.3,0.96,0.34,0.06,0.17,18.9
Edgar Sevikyan\Edgar-Sevikyan,ru RUS,MF,Levante,19-252,2001,0.1,0,0,0,,0,0,,,
Sidnei\Sidnei,br BRA,DF,Betis,31-237,1989,7.7,0,1,0,0,0.13,0,0,,5.1
David Silva\David-Silva,es ESP,MF,Real Sociedad,35-099,1986,12.8,1,14,2,14.3,1.1,0.16,0.07,0.5,13.7
Gastón Silva\Gaston-Silva,uy URU,DF,Huesca,27-043,1994,4.5,0,0,0,,0,0,,,
Rui Silva\Rui-Silva,pt POR,GK,Granada,27-069,1994,29,0,0,0,,0,0,,,
Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,23-310,1997,30,0,0,0,,0,0,,,
Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Huesca,32-213,1988,27.8,2,21,7,33.3,0.76,0.25,0.1,0.29,11
Rafa Soares\Rafa-Soares,pt POR,DF,Eibar,25-343,1995,10.5,0,2,0,0,0.19,0,0,,19.9
Rubén Sobrino\Ruben-Sobrino,es ESP,MFFW,Valencia,28-320,1992,0.5,0,0,0,,0,0,,,
Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Cádiz,28-320,1992,6.8,0,3,1,33.3,0.44,0.15,0,0,13.9
Augusto Solari\Augusto-Solari,ar ARG,MF,Celta Vigo,29-104,1992,2.9,0,1,0,0,0.34,0,0,,19
Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,35-325,1985,13.6,6,24,8,33.3,1.77,0.59,0.21,0.63,16.8
Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,24-105,1997,23.7,7,21,6,28.6,0.89,0.25,0.05,0.17,26.8
Son\Son,es ESP,DFMF,Levante,27-018,1994,9.7,0,7,5,71.4,0.72,0.52,0,0,18.3
David Soria\David-Soria,es ESP,GK,Getafe,28-013,1993,21,0,0,0,,0,0,,,
Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,22-039,1999,2.8,1,1,1,100,0.35,0.35,1,1,1
Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,32-355,1988,20.4,1,8,2,25,0.39,0.1,0.13,0.5,33
Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,27-101,1994,24.1,0,11,1,9.1,0.46,0.04,0,0,22.1
Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,34-083,1987,22.7,19,78,34,43.6,3.43,1.5,0.21,0.47,16.6
Suso\Suso,es ESP,FW,Sevilla,27-149,1993,18.2,3,36,13,36.1,1.98,0.71,0.08,0.23,22.5
Tachi\Tachi,es ESP,DF,Alavés,23-219,1997,7.4,0,1,0,0,0.13,0,0,,9
Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,25-263,1995,26.7,0,14,3,21.4,0.52,0.11,0,0,15.5
Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,20-041,2001,0.7,0,0,0,,0,0,,,
Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,24-271,1996,1.2,0,2,1,50,1.64,0.82,0,0,26.7
