Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,29-249,1991,11,5,29,12,41.4,2.65,1.1,0.17,0.42,20.3
Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,28-352,1992,24,0,1,0,0,0.04,0,0,,18
David Timor\David-Timor,es ESP,MFDF,Getafe,31-182,1989,10.5,0,13,3,23.1,1.24,0.29,0,0,31.9
Toño\Tono,es ESP,DF,Levante,31-161,1989,5.4,0,2,0,0,0.37,0,0,,26.8
Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,25-065,1996,5.2,1,2,1,50,0.39,0.19,0.5,1,21.9
Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,26-158,1994,13.8,0,10,3,30,0.72,0.22,0,0,18.7
Pau Torres\Pau-Torres,es ESP,DF,Villarreal,24-091,1997,27,2,8,3,37.5,0.3,0.11,0.25,0.67,7.3
Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,32-041,1989,16.2,4,30,8,26.7,1.86,0.49,0.1,0.38,22.6
Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,26-272,1994,11.8,0,12,5,41.7,1.01,0.42,0,0,24.2
Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,29-182,1991,22.2,1,26,7,26.9,1.17,0.31,0.04,0.14,21.7
Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,21-109,1999,6.7,3,22,12,54.5,3.28,1.79,0.14,0.25,16.2
Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,30-210,1990,19.9,0,2,1,50,0.1,0.05,0,0,17.3
Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,27-154,1993,5.5,0,0,0,,0,0,,,
Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,23-342,1997,8.6,1,17,3,17.6,1.98,0.35,0.06,0.33,12.8
Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,32-019,1989,4,0,0,0,,0,0,,,
Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,26-272,1994,1.3,0,0,0,,0,0,,,
Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,24-102,1997,13.6,0,1,0,0,0.07,0,0,,12
Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,24-062,1997,9.3,5,15,11,73.3,1.62,1.19,0.33,0.45,11.5
Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,22-269,1998,11.1,3,19,7,36.8,1.71,0.63,0.16,0.43,18.2
Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,27-357,1993,27,2,17,4,23.5,0.63,0.15,0.12,0.5,8.9
Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,25-007,1996,2,0,4,1,25,1.97,0.49,0,0,21.4
Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,32-054,1989,0.9,1,2,1,50,2.25,1.13,0.5,1,16.5
Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,28-025,1993,1.1,0,0,0,,0,0,,,
Lucas Vázquez\Lucas-Vazquez,es ESP,DFFW,Real Madrid,29-290,1991,20.5,2,22,8,36.4,1.07,0.39,0.09,0.25,18.9
Koke Vegas\Koke-Vegas,es ESP,GK,Levante,25-202,1995,1,0,0,0,,0,0,,,
Gabriel Veiga\Gabriel-Veiga,es ESP,MFDF,Celta Vigo,18-325,2002,1.3,0,0,0,,0,0,,,
Unai Vencedor Paris\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,20-153,2000,13.7,0,7,1,14.3,0.51,0.07,0,0,22.4
Gonzalo Verdú\Gonzalo-Verdu,es ESP,DF,Elche,32-178,1988,29,0,10,4,40,0.34,0.14,0,0,13.9
Mikel Vesga\Mikel-Vesga,es ESP,MF,Athletic Club,27-331,1993,14.3,0,19,4,21.1,1.33,0.28,0,0,15.7
Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,26-357,1994,20.6,1,5,2,40,0.24,0.1,0.2,0.5,14.1
Iñigo Vicente\Inigo-Vicente,es ESP,FW,Athletic Club,23-101,1998,0.4,0,1,0,0,2.73,0,0,,21.8
Fede Vico\Fede-Vico,es ESP,MFFW,Granada,26-287,1994,5.5,0,7,4,57.1,1.28,0.73,0,0,24
Aleix Vidal\Aleix-Vidal,es ESP,DF,Sevilla,31-239,1989,5.6,0,1,0,0,0.18,0,0,,25
Nacho Vidal\Nacho-Vidal,es ESP,DF,Osasuna,26-083,1995,21.1,0,6,2,33.3,0.28,0.09,0,0,18.4
Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,26-100,1995,8.8,2,12,4,33.3,1.36,0.45,0.17,0.5,17.9
Asier Villalibre\Asier-Villalibre,es ESP,FW,Athletic Club,23-199,1997,11.4,4,23,11,47.8,2.01,0.96,0.17,0.36,12.5
Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,23-282,1997,11.8,0,0,0,,0,0,,,
Vitolo\Vitolo,es ESP,MFFW,Atlético Madrid,31-166,1989,2.9,0,2,0,0,0.68,0,0,,11.4
Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,Atlético Madrid,29-097,1992,5.8,0,0,0,,0,0,,,
Nikola Vukčević\Nikola-Vukcevic,me MNE,MF,Levante,29-125,1991,9,0,2,0,0,0.22,0,0,,5.4
Daniel Wass\Daniel-Wass,dk DEN,MFDF,Valencia,31-321,1989,27.4,4,32,10,31.3,1.17,0.36,0.09,0.3,23.8
Shon Weissman\Shon-Weissman,il ISR,FW,Valladolid,25-062,1996,17.1,4,24,12,50,1.4,0.7,0.17,0.33,12.2
Iñaki Williams\Inaki-Williams,es ESP,FW,Athletic Club,26-306,1994,24.3,5,49,16,32.7,2.02,0.66,0.08,0.25,15.2
Jawad El Yamiq\Jawad-El-Yamiq,ma MAR,DF,Valladolid,29-047,1992,9.3,0,3,1,33.3,0.32,0.11,0,0,11.7
Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,27-187,1993,9,0,0,0,,0,0,,,
Yoel\Yoel,es ESP,GK,Eibar,32-232,1988,2.3,0,0,0,,0,0,,,
Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,Celta Vigo,27-039,1994,5.1,0,3,0,0,0.58,0,0,,16.8
Joseba Zaldúa\Joseba-Zaldua,es ESP,DF,Real Sociedad,28-297,1992,5.5,0,1,0,0,0.18,0,0,,18.4
Oier Zarraga\Oier-Zarraga,es ESP,MF,Athletic Club,22-103,1999,1.1,0,1,0,0,0.9,0,0,,16
Igor Zubeldia\Igor-Zubeldia,es ESP,DF,Real Sociedad,24-018,1997,19.5,0,8,2,25,0.41,0.1,0,0,17.7
Martín Zubimendi\Martin-Zubimendi,es ESP,MF,Real Sociedad,22-074,1999,14.3,0,6,1,16.7,0.42,0.07,0,0,13
Martin Ødegaard\Martin-Odegaard,no NOR,MFFW,Real Madrid,22-121,1998,2.6,0,3,0,0,1.15,0,0,,19.9
